Country,Product,Flow,2021
Australia,"Coal, peat and oil shale",Production (PJ),11467.56954
Australia,"Coal, peat and oil shale",Imports (PJ),12.41685138
Australia,"Coal, peat and oil shale",Exports (PJ),-9866.188301
Australia,"Coal, peat and oil shale",Total energy supply (PJ),1683.993595
Australia,"Coal, peat and oil shale","Electricity, CHP and heat plants (PJ)",-1467.357844
Australia,"Coal, peat and oil shale","Oil refineries, transformation (PJ)",0
Australia,"Coal, peat and oil shale",Total final consumption (PJ),113.3585897
Australia,"Coal, peat and oil shale",Industry (PJ),113.1238945
Australia,"Coal, peat and oil shale",Transport (PJ),0
Australia,"Coal, peat and oil shale",Residential (PJ),0.020996802
Australia,"Coal, peat and oil shale",Commercial and public services (PJ),0.213698459
Australia,"Coal, peat and oil shale",Other final consumption (PJ),0
Australia,"Crude, NGL and feedstocks",Production (PJ),785.0671862
Australia,"Crude, NGL and feedstocks",Imports (PJ),491.7881515
Australia,"Crude, NGL and feedstocks",Exports (PJ),-563.5961467
Australia,"Crude, NGL and feedstocks",Total energy supply (PJ),730.0185871
Australia,"Crude, NGL and feedstocks","Electricity, CHP and heat plants (PJ)",0
Australia,"Crude, NGL and feedstocks","Oil refineries, transformation (PJ)",-775.0039863
Australia,"Crude, NGL and feedstocks",Total final consumption (PJ),0
Australia,"Crude, NGL and feedstocks",Industry (PJ),0
Australia,"Crude, NGL and feedstocks",Transport (PJ),0
Australia,"Crude, NGL and feedstocks",Residential (PJ),0
Australia,"Crude, NGL and feedstocks",Commercial and public services (PJ),0
Australia,"Crude, NGL and feedstocks",Other final consumption (PJ),0
Australia,Oil products,Production (PJ),0
Australia,Oil products,Imports (PJ),1274.533652
Australia,Oil products,Exports (PJ),-149.0898169
Australia,Oil products,Total energy supply (PJ),1047.426774
Australia,Oil products,"Electricity, CHP and heat plants (PJ)",-44.84423702
Australia,Oil products,"Oil refineries, transformation (PJ)",757.1404975
Australia,Oil products,Total final consumption (PJ),1710.052254
Australia,Oil products,Industry (PJ),187.9076452
Australia,Oil products,Transport (PJ),1205.040049
Australia,Oil products,Residential (PJ),15.16497479
Australia,Oil products,Commercial and public services (PJ),28.14714464
Australia,Oil products,Other final consumption (PJ),273.7924366
Australia,Natural gas,Production (PJ),5140.189693
Australia,Natural gas,Imports (PJ),186.8156984
Australia,Natural gas,Exports (PJ),-3816.568833
Australia,Natural gas,Total energy supply (PJ),1529.796175
Australia,Natural gas,"Electricity, CHP and heat plants (PJ)",-470.9225555
Australia,Natural gas,"Oil refineries, transformation (PJ)",0
Australia,Natural gas,Total final consumption (PJ),527.0294017
Australia,Natural gas,Industry (PJ),265.8516428
Australia,Natural gas,Transport (PJ),17.97358071
Australia,Natural gas,Residential (PJ),149.1786064
Australia,Natural gas,Commercial and public services (PJ),40.21821239
Australia,Natural gas,Other final consumption (PJ),53.80736358
Australia,Nuclear,Production (PJ),0
Australia,Nuclear,Imports (PJ),0
Australia,Nuclear,Exports (PJ),0
Australia,Nuclear,Total energy supply (PJ),0
Australia,Nuclear,"Electricity, CHP and heat plants (PJ)",0
Australia,Nuclear,"Oil refineries, transformation (PJ)",0
Australia,Nuclear,Total final consumption (PJ),0
Australia,Nuclear,Industry (PJ),0
Australia,Nuclear,Transport (PJ),0
Australia,Nuclear,Residential (PJ),0
Australia,Nuclear,Commercial and public services (PJ),0
Australia,Nuclear,Other final consumption (PJ),0
Australia,Renewables and waste,Production (PJ),461.8580539
Australia,Renewables and waste,Imports (PJ),0
Australia,Renewables and waste,Exports (PJ),0
Australia,Renewables and waste,Total energy supply (PJ),461.8580539
Australia,Renewables and waste,"Electricity, CHP and heat plants (PJ)",-284.7202944
Australia,Renewables and waste,"Oil refineries, transformation (PJ)",0
Australia,Renewables and waste,Total final consumption (PJ),177.1377512
Australia,Renewables and waste,Industry (PJ),106.1570006
