Country,Product,Flow,2021,ISO
Australia,"Coal, peat and oil shale",Commercial and public services (PJ),0.213698459,AU
Austria,"Coal, peat and oil shale",Commercial and public services (PJ),0,AT
Belgium,"Coal, peat and oil shale",Commercial and public services (PJ),0,BE
Canada,"Coal, peat and oil shale",Commercial and public services (PJ),0,CA
Chile,"Coal, peat and oil shale",Commercial and public services (PJ),0.012602268,CL
Colombia,"Coal, peat and oil shale",Commercial and public services (PJ),0,CO
Costa Rica,"Coal, peat and oil shale",Commercial and public services (PJ),0,CR
Czech Republic,"Coal, peat and oil shale",Commercial and public services (PJ),0.992175304,CZ
Denmark,"Coal, peat and oil shale",Commercial and public services (PJ),0,DK
Estonia,"Coal, peat and oil shale",Commercial and public services (PJ),0.042399724,EE
Finland,"Coal, peat and oil shale",Commercial and public services (PJ),0.093960166,FI
France,"Coal, peat and oil shale",Commercial and public services (PJ),1.540687972,FR
Germany,"Coal, peat and oil shale",Commercial and public services (PJ),0.033289247,DE
Greece,"Coal, peat and oil shale",Commercial and public services (PJ),0,GR
Hungary,"Coal, peat and oil shale",Commercial and public services (PJ),0.049994579,HU
Iceland,"Coal, peat and oil shale",Commercial and public services (PJ),0,IS
Ireland,"Coal, peat and oil shale",Commercial and public services (PJ),0.016784881,IE
Israel,"Coal, peat and oil shale",Commercial and public services (PJ),0,IL
Italy,"Coal, peat and oil shale",Commercial and public services (PJ),0,IT
Japan,"Coal, peat and oil shale",Commercial and public services (PJ),8.517345404,JP
Korea,"Coal, peat and oil shale",Commercial and public services (PJ),0,KR
Latvia,"Coal, peat and oil shale",Commercial and public services (PJ),0.083032618,LV
Lithuania,"Coal, peat and oil shale",Commercial and public services (PJ),1.169180647,LT
Luxembourg,"Coal, peat and oil shale",Commercial and public services (PJ),0,LU
Mexico,"Coal, peat and oil shale",Commercial and public services (PJ),0,MX
Netherlands,"Coal, peat and oil shale",Commercial and public services (PJ),0.117678388,NL
New Zealand,"Coal, peat and oil shale",Commercial and public services (PJ),0.464161208,NZ
Norway,"Coal, peat and oil shale",Commercial and public services (PJ),0.003935592,NO
Poland,"Coal, peat and oil shale",Commercial and public services (PJ),26.79380341,PL
Portugal,"Coal, peat and oil shale",Commercial and public services (PJ),0,PT
